NAME_LATN,NUTS_ID,NUTS_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
South West (England),UKK,South West (England),3,10,9,22,13,9,3,3,0,0,12,0,0,7,6,12,8,7,19,19,7,3,0,5,5,4,6,0,0,0,3,3,3,3,4,5,11,0,3,5,4,3,3,6,0,0,7,6,0,0,0,4,0,0,0,0,4,6,3,8,0,0,0,6,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Südösterreich,AT2,Südösterreich,12,29,14,16,33,9,6,4,3,3,11,3,8,4,8,6,24,21,21,23,4,0,4,6,6,15,4,11,9,6,12,5,9,0,13,15,12,0,6,9,15,3,3,14,8,10,7,0,5,10,0,4,0,9,0,0,0,8,6,12,18,7,3,0,0,6,0,0,3,3,3,0,3,6,4,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Baden-Württemberg,DE1,Baden-Württemberg,15,33,9,21,18,11,8,5,6,0,12,3,3,4,8,13,20,20,36,25,4,0,0,11,10,12,7,14,6,17,0,0,9,0,7,17,16,3,11,12,18,7,5,15,4,4,8,3,3,5,0,4,0,4,0,3,0,11,5,19,7,0,4,3,0,8,0,0,0,0,4,0,5,0,5,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Bourgogne-Franche-Comté,FRC,Bourgogne-Franche-Comté,16,30,24,45,20,4,5,5,4,0,14,0,3,3,6,7,13,11,37,24,3,3,3,6,12,9,7,10,7,15,3,6,7,0,10,16,16,3,12,10,13,9,6,16,5,3,9,3,4,3,0,4,0,0,0,4,0,9,5,17,10,0,7,6,0,6,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Norra Sverige,SE3,Norra Sverige,6,11,21,13,14,9,10,12,12,6,12,4,5,13,7,16,4,12,14,4,19,7,6,5,6,0,4,5,0,3,3,6,3,6,3,10,3,3,4,13,7,10,4,0,3,3,4,8,6,9,6,0,8,4,4,4,6,7,4,10,7,0,0,6,0,6,0,0,0,0,0,3,4,4,3,0,0,3,6,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0
Latvija,LV0,Latvija,10,22,28,19,19,5,9,17,6,0,3,3,0,0,10,10,12,16,18,26,14,16,8,0,0,0,3,4,0,3,4,9,0,0,0,23,5,4,0,23,12,6,0,3,0,11,8,3,4,8,7,6,8,3,0,0,0,9,4,11,7,0,0,7,5,5,0,0,0,0,0,0,0,9,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,LI0,Liechtenstein,10,20,8,3,4,6,8,3,4,0,0,0,0,0,0,3,7,4,19,0,0,0,0,3,4,4,0,4,0,14,3,0,3,0,0,16,10,0,3,0,0,3,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centro (ES),ES4,Centro (ES),14,19,17,44,13,4,13,4,3,4,7,6,6,9,7,8,13,14,30,3,0,8,0,3,8,4,7,8,5,16,7,13,15,0,8,3,7,3,3,6,10,6,3,14,9,3,3,3,3,3,0,6,3,0,0,0,3,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saarland,DEC,Saarland,10,24,8,20,19,7,0,3,0,0,6,0,0,0,4,8,15,8,33,23,4,0,0,3,7,13,0,8,4,9,0,0,6,0,4,19,15,0,0,12,9,3,4,12,0,6,5,0,0,0,0,3,0,0,0,0,0,10,0,20,0,0,3,3,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
Nord-Est,ITH,Nord-Est,15,37,18,28,36,14,14,9,4,0,16,7,11,8,3,11,18,24,41,25,5,0,7,16,8,11,10,16,9,18,14,10,11,3,13,24,15,0,9,7,19,6,8,18,7,8,11,3,7,4,3,4,0,6,0,0,0,8,6,12,11,7,5,3,4,8,0,0,3,0,3,0,6,6,6,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Shqipëria,AL0,Shqipëria,6,28,23,16,9,0,7,12,3,5,4,3,8,9,3,9,4,18,34,31,12,3,11,12,11,18,8,3,9,27,20,10,13,7,18,18,9,3,10,3,17,3,0,19,6,11,13,4,5,3,0,3,0,4,0,0,0,6,8,16,4,7,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayern,DE2,Bayern,14,34,10,21,21,13,9,7,4,0,8,3,4,4,4,13,19,25,33,25,4,3,3,7,9,13,0,12,7,17,4,3,10,0,10,21,18,4,7,12,21,6,4,13,4,6,9,3,3,6,3,4,3,4,0,0,0,11,6,20,8,0,3,3,0,6,0,0,3,0,4,0,5,4,6,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Sachsen,DED,Sachsen,9,32,9,12,20,5,8,17,6,5,4,0,0,4,3,19,20,24,32,17,5,0,3,3,6,15,3,10,0,4,4,6,6,3,8,18,19,3,0,17,12,6,4,13,0,8,7,4,0,3,5,0,0,3,0,0,0,11,0,21,0,0,0,4,0,4,0,0,3,0,0,0,4,4,5,0,0,4,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
North East (England),UKC,North East (England),0,11,8,15,7,3,6,0,6,0,9,0,0,7,0,8,11,4,3,3,12,0,0,4,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,5,3,0,5,0,3,0,0,0,3,0,0,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Este,ES5,Este,10,20,14,36,19,6,12,7,3,0,7,5,3,7,5,0,17,9,34,3,0,10,0,6,6,3,3,8,0,15,5,6,19,0,8,12,6,0,4,4,12,3,5,15,6,4,7,3,3,0,0,5,0,3,0,0,3,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Sur,ES6,Sur,9,22,16,27,11,4,6,4,10,7,7,9,13,4,11,3,11,14,24,0,0,6,0,3,3,0,8,6,0,7,7,14,13,0,7,3,6,3,0,4,7,9,5,10,9,0,3,0,5,0,3,0,6,0,0,0,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Est,FRF,Grand Est,12,32,16,32,21,7,6,3,5,0,14,0,0,3,5,9,20,16,29,24,5,3,0,6,12,12,10,11,7,12,0,3,7,0,8,20,18,3,11,13,13,6,5,14,0,6,10,3,3,5,0,6,0,0,0,0,0,10,6,20,12,0,4,4,0,9,0,0,0,0,4,0,6,3,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Makroregion północno-zachodni,PL4,Makroregion północno-zachodni,11,23,9,15,23,11,7,21,11,4,4,7,3,5,11,11,15,28,30,15,8,7,4,0,4,5,3,11,0,5,3,7,6,3,7,11,17,4,0,23,14,14,3,8,6,11,7,0,0,7,7,4,10,3,0,0,0,4,0,19,15,0,0,5,0,6,0,0,0,0,0,0,3,8,6,0,0,7,3,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0
Oost-Nederland,NL2,Oost-Nederland,11,13,9,22,17,9,7,4,0,0,3,0,0,4,5,17,15,14,24,13,8,0,0,0,3,13,14,11,3,3,0,0,0,0,3,18,18,0,0,16,8,3,7,9,0,0,0,4,0,0,4,0,3,0,0,0,0,13,11,17,9,0,3,3,0,4,0,0,4,0,0,0,5,3,0,0,0,5,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0
Centro (IT),ITI,Centro (IT),12,33,18,21,14,4,8,4,6,4,4,0,9,16,3,6,17,19,42,24,7,0,5,20,6,11,7,13,9,19,6,11,12,0,15,22,8,4,10,3,16,6,5,18,7,6,10,6,7,6,0,3,0,0,0,0,0,7,5,14,9,6,4,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0
Lietuva,LT0,Lietuva,10,22,29,21,19,10,9,23,9,0,3,5,0,3,11,12,15,21,9,26,5,12,6,0,3,0,3,13,0,3,0,8,0,0,0,15,4,7,0,23,8,9,0,7,0,10,9,0,0,7,8,5,7,4,0,0,0,7,0,11,6,0,0,6,3,4,0,0,0,0,0,0,0,8,0,0,0,4,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Bremen,DE5,Bremen,8,12,7,7,9,0,8,4,0,0,3,0,0,0,0,15,12,9,12,10,8,0,0,0,0,9,0,10,0,3,0,3,0,0,0,14,14,0,0,16,6,0,3,3,4,0,0,0,0,0,4,0,0,3,0,0,0,8,5,12,6,0,0,3,0,5,0,0,4,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centre — Val de Loire,FRB,Centre — Val de Loire,11,15,19,43,24,7,4,7,5,0,13,0,4,4,6,4,15,7,36,21,4,4,0,3,12,9,7,10,6,8,0,4,6,3,11,15,14,0,8,10,7,5,3,16,0,3,12,6,3,0,0,9,5,0,0,4,0,7,7,17,10,0,8,3,0,5,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Pays de la Loire,FRG,Pays de la Loire,9,14,23,39,19,8,0,8,7,0,13,0,0,5,6,3,14,10,29,20,5,0,0,4,12,5,11,5,7,13,0,3,8,3,10,9,11,0,9,9,6,4,3,15,0,4,9,6,0,0,0,10,6,0,0,0,0,7,7,16,17,0,9,4,0,5,0,0,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
South East (England),UKJ,South East (England),4,13,8,25,11,7,0,0,0,0,10,0,0,6,5,11,11,3,11,19,5,3,0,0,0,8,0,0,0,0,3,0,0,3,3,5,10,0,0,5,7,3,3,5,0,0,7,3,0,0,0,3,0,0,0,0,4,5,6,0,0,0,3,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zuid-Nederland,NL4,Zuid-Nederland,8,15,10,22,14,7,0,4,0,0,3,0,0,5,5,17,14,8,25,25,4,0,0,3,3,11,0,10,3,0,0,0,0,0,3,15,17,0,0,14,5,3,7,10,0,3,5,4,0,0,4,4,0,0,3,0,0,13,10,15,9,0,3,0,0,3,0,0,4,0,0,0,5,0,0,0,0,4,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0
Brandenburg,DE4,Brandenburg,13,24,9,13,13,6,9,17,9,4,7,0,0,4,3,12,14,25,27,14,7,0,0,0,3,9,3,12,0,4,4,6,6,0,7,12,17,3,0,20,10,7,5,8,6,3,6,0,0,6,6,3,6,3,0,0,0,10,0,16,0,0,0,7,0,7,0,0,3,0,0,0,3,3,5,0,0,4,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
West Midlands (England),UKG,West Midlands (England),0,10,9,21,12,10,0,0,3,0,3,0,0,7,4,16,11,4,17,17,9,3,0,3,5,6,3,0,0,0,3,0,0,4,0,0,10,0,0,5,0,0,4,5,0,0,8,4,0,0,0,4,0,0,0,0,3,6,6,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sud,ITF,Sud,10,33,21,12,7,0,9,9,6,5,4,0,6,16,0,8,7,14,44,25,7,3,3,14,8,10,5,6,11,30,13,11,11,3,17,18,6,4,9,3,16,3,0,18,7,6,13,8,6,7,0,3,0,3,0,0,0,6,6,12,16,10,4,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0,0,0,0,0,0
Schweiz/Suisse/Svizzera,CH0,Schweiz/Suisse/Svizzera,16,30,11,22,20,13,14,7,7,3,15,4,9,7,6,12,12,13,36,23,3,3,4,9,11,11,8,15,9,28,14,3,10,3,11,16,17,3,13,8,15,7,7,18,3,7,14,6,7,5,0,4,0,7,0,3,0,8,5,17,11,0,11,3,5,9,3,0,0,0,4,0,5,3,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Ile-de-France,FR1,Ile-de-France,10,11,23,30,22,6,0,6,4,0,9,0,0,3,6,11,16,9,24,21,4,3,0,3,9,10,10,9,6,9,0,0,9,0,0,15,14,0,7,11,6,0,3,11,0,3,12,6,0,0,0,3,0,0,0,0,0,8,7,19,14,0,3,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Macroregiunea Trei,RO3,Macroregiunea Trei,30,26,16,23,29,24,12,17,7,8,21,4,4,0,19,12,9,19,45,37,17,9,17,5,12,12,17,14,3,14,16,6,13,3,23,18,14,3,6,6,32,3,3,17,4,3,6,0,0,3,4,6,0,3,0,0,0,4,10,15,6,6,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,3,0,0,6,4,0,0,0,0,3,0,0,0,0,0,0,0,0
Northern Ireland,UKN,Northern Ireland,4,9,5,23,4,0,7,0,5,0,6,3,0,6,3,6,7,7,4,0,9,0,0,3,0,3,3,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,0,7,0,0,0,0,4,6,5,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thüringen,DEG,Thüringen,7,29,9,13,19,8,8,12,5,0,5,3,0,3,4,18,20,25,26,16,4,0,0,3,7,13,5,12,3,3,4,4,4,0,9,16,18,0,0,14,8,3,3,11,0,3,7,0,0,3,3,0,0,0,0,0,0,10,3,20,3,0,3,3,0,4,0,0,3,0,0,0,5,4,5,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Ostösterreich,AT1,Ostösterreich,16,32,13,20,38,11,3,8,3,3,6,0,5,4,8,11,20,25,34,21,4,0,6,6,6,15,3,13,6,6,7,5,7,0,13,15,17,3,3,10,16,6,3,14,5,8,7,6,3,10,0,0,3,3,0,0,0,9,7,18,8,3,0,3,0,5,0,0,3,3,0,0,5,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Alföld és Észak,HU3,Alföld és Észak,18,27,12,20,64,16,5,13,3,5,8,3,7,5,14,13,5,20,36,32,13,5,10,13,12,9,7,17,4,13,20,9,10,0,17,14,4,4,8,4,30,3,0,14,4,0,12,0,4,6,0,3,0,5,0,0,0,7,6,12,3,8,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Česko,CZ0,Česko,18,35,10,17,45,14,11,20,3,6,6,3,4,3,4,15,24,27,36,20,6,3,8,5,7,17,4,16,4,7,8,4,6,4,13,21,17,0,3,13,17,9,5,15,4,7,8,3,3,9,3,0,0,6,3,0,0,11,3,22,3,3,3,6,0,8,0,0,3,4,0,0,5,3,5,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Nouvelle-Aquitaine,FRI,Nouvelle-Aquitaine,12,20,20,39,20,6,11,8,4,3,15,4,4,6,8,6,18,11,38,21,4,8,0,7,12,3,8,10,6,23,4,8,14,3,12,16,12,0,8,5,11,8,7,17,3,3,9,6,3,6,0,7,4,0,0,4,0,6,4,14,17,0,12,3,0,7,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,3,0,0
Bretagne,FRH,Bretagne,9,13,22,36,16,9,3,8,6,0,7,0,0,5,5,3,11,13,23,20,4,0,0,0,10,8,10,8,7,5,0,0,6,6,6,5,12,0,9,8,6,4,0,11,0,3,7,5,0,0,0,10,6,0,0,0,0,5,7,14,8,0,7,4,0,4,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Continente,PT1,Continente,15,16,17,29,9,3,3,3,3,3,4,4,6,4,3,0,7,6,19,0,0,3,0,0,3,4,3,3,0,14,3,7,10,0,7,6,7,3,0,3,10,6,5,14,5,0,4,0,4,0,0,3,3,0,0,0,0,0,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Közép-Magyarország,HU1,Közép-Magyarország,8,23,11,14,67,13,3,7,0,3,8,0,6,3,11,6,3,19,32,24,7,3,10,3,4,8,4,16,0,9,13,5,5,0,12,11,4,0,0,4,19,0,0,13,0,0,13,0,0,6,0,3,0,4,0,0,0,7,0,9,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0,10,8,13,15,7,0,4,0,0,3,0,0,5,4,14,12,7,19,15,4,0,0,0,0,10,0,6,0,0,0,0,0,0,0,11,14,0,0,11,5,0,0,9,0,0,0,3,0,0,4,0,0,0,0,0,0,9,3,11,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Slovensko,SK0,Slovensko,20,28,14,20,57,19,7,14,3,6,7,0,7,4,12,17,13,21,35,34,9,11,15,9,7,11,6,13,3,10,17,7,5,6,17,13,11,8,9,5,29,3,0,15,4,3,10,4,3,7,0,3,0,5,3,0,0,10,3,19,3,6,0,0,0,6,0,0,0,0,3,0,5,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,DE3,Berlin,10,14,5,10,10,4,0,17,6,0,6,0,0,0,0,10,7,22,18,11,4,0,0,0,0,4,3,8,0,4,0,3,0,0,7,9,13,0,0,17,6,6,4,7,5,0,5,0,0,3,0,0,4,3,0,0,0,4,0,12,0,0,3,4,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenija,SI0,Slovenija,10,28,14,22,57,10,5,4,0,5,6,0,5,12,4,9,14,21,36,26,7,0,4,14,7,9,4,14,3,10,4,6,6,0,13,14,4,3,7,9,17,8,3,16,6,6,11,3,0,3,3,3,0,4,0,0,0,8,0,14,18,7,3,0,0,4,0,0,3,0,0,0,3,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Wales,UKL,Wales,0,10,12,24,14,9,3,3,4,0,6,0,0,4,5,15,12,5,16,13,12,0,0,7,0,3,4,0,3,0,0,3,0,3,4,5,11,0,0,0,3,0,5,5,0,4,7,5,0,0,3,3,0,0,0,0,4,7,0,0,0,0,0,6,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Région wallonne,BE3,Région wallonne,11,15,9,18,21,8,3,6,0,0,6,0,0,6,5,14,16,8,28,26,5,0,0,0,4,11,3,9,4,4,0,0,6,0,0,16,16,3,3,13,5,3,7,12,0,3,5,4,0,0,4,7,0,0,3,0,0,11,5,20,7,0,4,4,0,3,0,0,0,0,3,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Normandie,FRD,Normandie,9,11,21,38,24,8,0,7,4,0,14,0,0,6,7,11,15,10,22,24,5,3,0,3,8,10,10,6,6,6,0,0,6,0,6,14,15,0,8,9,7,0,4,10,0,3,11,7,0,0,0,10,0,0,0,0,0,7,8,17,11,0,9,4,0,5,0,0,3,0,3,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Hrvatska,HR0,Hrvatska,10,33,14,19,59,10,6,6,3,6,8,0,9,11,8,8,9,22,46,32,7,0,12,16,10,11,8,18,10,20,11,7,6,4,10,19,11,4,10,6,28,10,0,17,7,10,12,3,6,5,0,3,0,3,0,0,0,9,8,17,13,8,3,3,0,3,0,0,0,0,0,0,4,3,5,0,0,0,0,0,5,3,3,0,0,0,3,0,0,0,0,0,0,0,0
Makroregion południowo-zachodni,PL5,Makroregion południowo-zachodni,10,27,10,14,21,8,9,21,3,5,6,0,0,0,7,13,16,25,30,17,5,3,4,0,6,13,6,8,0,4,4,4,7,3,12,12,17,0,0,18,15,14,0,13,3,5,8,0,0,7,4,3,8,4,0,0,0,9,0,24,0,0,0,4,0,6,0,0,3,0,0,0,5,3,5,0,0,4,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0
"Nisia Aigaiou, Kriti",EL4,"Νησιά Αιγαίου, Κρήτη",9,13,9,10,4,0,11,8,0,3,3,3,5,0,0,3,0,8,16,16,6,6,14,0,11,13,7,6,7,19,15,4,11,3,9,8,0,0,6,0,7,0,0,6,0,6,3,0,0,3,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Severna Makedonija,MK0,Северна Македонија,28,32,19,16,21,9,6,12,0,4,6,0,6,11,8,10,3,17,37,21,9,4,11,9,10,18,14,4,9,32,22,4,15,5,13,22,10,0,10,0,19,4,0,19,12,8,16,7,4,4,0,0,0,3,0,0,0,4,10,16,4,13,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
