NUTS_ID,NAME_LATN,NUTS_NAME,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
UKK,South West (England),South West (England),0,7,10,3,0,4,0,0,11,9,0,0,0,0,18,0,7,0,4,3,4,0,13,3,7,15,0,0,4,0,0,0,9,7,0,3,5,14,4,11
AT2,Südösterreich,Südösterreich,4,3,7,3,4,0,0,4,0,3,3,16,3,11,0,11,0,7,3,5,3,8,28,0,4,7,5,3,3,9,9,19,16,5,33,3,18,10,20,3
DE1,Baden-Württemberg,Baden-Württemberg,0,4,8,3,0,0,0,0,0,4,4,14,0,11,0,0,0,4,0,3,4,4,25,0,8,11,0,0,0,7,5,4,10,6,19,4,14,21,18,9
FRC,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,0,5,6,0,0,3,0,0,0,5,3,7,3,8,3,0,5,4,0,3,3,6,32,4,11,15,0,0,5,5,6,6,9,7,18,5,20,18,21,11
SE3,Norra Sverige,Norra Sverige,3,13,5,5,10,8,4,16,10,7,5,9,0,13,9,8,18,0,8,0,6,26,18,7,12,18,9,13,11,7,12,5,9,29,11,8,7,30,20,25
LV0,Latvija,Latvija,0,4,0,5,0,0,0,13,0,0,3,8,0,11,10,3,13,3,12,0,3,11,13,3,0,12,9,0,3,27,13,7,12,17,4,13,0,27,22,16
LI0,Liechtenstein,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,11,0,0,3,0,0,0,3,3,0,3,0,14,4,12,10,7,0
ES4,Centro (ES),Centro (ES),10,5,7,3,3,4,7,0,10,9,21,7,4,15,8,5,0,7,4,5,9,7,23,8,13,7,3,5,10,8,9,21,15,7,27,12,37,12,23,20
DEC,Saarland,Saarland,0,4,7,0,0,0,0,0,0,5,3,3,0,3,3,0,5,0,0,0,3,4,19,3,5,11,0,0,0,4,3,4,0,5,13,5,12,13,17,9
ITH,Nord-Est,Nord-Est,3,3,10,0,4,0,3,4,0,0,12,10,5,11,4,8,0,15,8,8,7,11,37,3,7,15,5,4,6,10,15,26,15,7,35,8,30,28,30,9
AL0,Shqipëria,Shqipëria,3,4,3,4,3,0,7,8,0,0,0,4,3,3,0,4,3,13,13,12,7,6,19,5,6,13,22,4,3,6,15,33,13,3,31,10,28,12,16,11
DE2,Bayern,Bayern,3,5,11,0,3,0,0,0,0,3,4,15,0,16,3,0,3,3,0,3,4,4,24,0,3,12,3,0,0,9,6,12,13,6,25,6,14,18,20,6
DED,Sachsen,Sachsen,3,7,3,0,0,3,0,0,0,6,0,4,0,12,4,3,5,3,0,3,3,7,12,0,0,15,3,3,0,8,5,6,9,5,19,7,3,19,23,8
UKC,North East (England),North East (England),0,6,10,3,0,3,0,0,9,7,0,0,0,3,7,3,7,0,3,3,0,0,7,5,8,12,0,3,4,0,0,0,4,0,3,3,3,3,9,8
ES5,Este,Este,7,7,14,4,0,4,5,0,3,0,7,0,5,17,3,3,4,4,3,6,8,8,54,3,8,14,4,3,13,7,9,24,7,7,29,9,29,15,21,18
ES6,Sur,Sur,7,4,5,4,0,4,5,3,7,4,14,4,6,20,7,0,3,0,9,5,9,7,20,15,12,9,3,6,12,12,13,33,14,6,34,10,44,10,18,29
FRF,Grand Est,Grand Est,0,7,7,3,0,3,0,0,3,6,4,7,5,9,13,3,5,5,0,0,4,5,29,4,12,13,0,0,0,8,4,7,9,7,18,5,16,23,20,10
PL4,Makroregion północno-zachodni,Makroregion północno-zachodni,3,11,0,0,3,4,0,0,3,0,0,10,0,15,5,3,9,0,3,4,0,13,6,3,0,24,4,3,3,9,4,3,11,16,19,10,3,17,27,15
NL2,Oost-Nederland,Oost-Nederland,0,9,3,0,0,0,0,0,0,0,0,0,0,9,8,3,7,0,4,3,4,6,11,6,0,17,0,0,0,4,0,3,0,3,4,6,0,7,13,16
ITI,Centro (IT),Centro (IT),4,3,10,3,3,0,3,7,0,0,7,6,7,11,3,6,0,20,7,10,4,12,46,3,6,15,15,4,6,8,13,24,10,7,39,11,33,22,26,19
LT0,Lietuva,Lietuva,0,4,0,3,0,0,0,7,0,0,3,4,0,15,6,4,13,3,15,0,7,10,9,0,0,14,9,0,6,19,9,9,12,17,12,10,3,22,22,16
DE5,Bremen,Bremen,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,0,9,6,0,0,5,3,0,3,0,3,3,3,4,5,0,11,15,12
FRB,Centre — Val de Loire,Centre — Val de Loire,0,8,9,3,0,4,0,0,4,8,0,3,3,0,7,0,6,3,0,0,3,0,16,6,11,17,0,0,3,4,3,5,6,3,12,9,14,10,19,10
FRG,Pays de la Loire,Pays de la Loire,0,6,9,0,0,4,0,0,6,12,5,0,3,0,14,3,6,0,4,3,7,0,21,4,12,18,0,0,3,3,0,4,10,3,5,9,14,14,17,8
UKJ,South East (England),South East (England),0,8,10,0,0,4,0,0,11,9,0,0,0,3,13,0,11,0,0,0,6,0,13,3,8,20,0,0,3,4,0,3,9,9,0,8,9,15,10,10
NL4,Zuid-Nederland,Zuid-Nederland,0,9,0,0,0,3,0,0,3,3,3,0,0,6,8,0,6,0,0,3,4,6,13,0,0,19,0,0,0,4,0,3,0,0,4,5,4,10,11,14
DE4,Brandenburg,Brandenburg,0,10,0,0,0,0,0,0,3,3,0,10,0,15,5,0,8,0,0,3,3,9,10,4,0,18,6,3,0,10,0,3,6,4,14,7,0,16,23,19
UKG,West Midlands (England),West Midlands (England),0,6,9,4,0,3,0,0,9,7,0,0,0,0,11,0,10,0,3,3,3,0,8,0,8,18,0,0,4,0,0,0,3,0,0,3,5,8,7,12
ITF,Sud,Sud,4,8,7,3,4,3,18,11,0,0,3,3,8,9,0,5,8,24,18,12,3,4,27,4,7,14,22,10,3,7,15,28,12,4,25,12,31,6,23,16
CH0,Schweiz/Suisse/Svizzera,Schweiz/Suisse/Svizzera,0,3,7,3,0,4,0,0,0,3,3,11,4,9,6,5,0,7,0,3,3,6,33,4,6,9,0,0,6,8,7,9,9,7,27,8,23,19,16,9
FR1,Ile-de-France,Ile-de-France,0,6,3,0,0,3,0,0,4,7,0,0,0,3,4,0,5,0,3,0,3,0,14,3,11,14,0,0,0,4,3,5,9,3,8,6,13,18,14,10
RO3,Macroregiunea Trei,Macroregiunea Trei,0,0,0,4,4,0,5,4,0,0,0,8,0,4,0,3,0,6,3,10,8,11,12,3,4,7,20,4,0,17,6,35,12,3,17,11,13,7,12,10
UKN,Northern Ireland,Northern Ireland,3,5,15,13,0,3,0,0,6,6,4,0,0,0,17,0,6,0,3,0,4,0,11,0,7,12,3,0,4,0,0,0,7,4,3,6,0,13,11,6
DEG,Thüringen,Thüringen,0,5,3,0,0,0,0,0,3,3,3,4,0,14,4,0,0,0,0,3,3,3,16,0,3,14,3,0,0,7,5,6,6,6,16,7,4,17,21,7
AT1,Ostösterreich,Ostösterreich,7,5,4,0,4,3,0,0,7,6,0,15,3,14,3,0,3,3,3,8,3,8,15,0,4,9,7,3,0,10,6,20,15,4,31,3,18,14,17,3
HU3,Alföld és Észak,Alföld és Észak,3,0,3,0,0,6,0,3,3,3,0,15,3,16,3,6,0,7,3,13,0,11,11,0,4,9,14,6,3,3,13,24,16,4,33,11,12,10,25,4
CZ0,Česko,Česko,4,6,7,0,4,7,0,5,6,3,0,14,0,17,0,3,4,3,3,11,3,5,16,3,3,15,6,3,0,11,6,19,17,6,30,6,16,20,26,6
FRI,Nouvelle-Aquitaine,Nouvelle-Aquitaine,0,3,9,3,0,4,6,0,7,11,7,3,4,4,6,0,5,4,0,4,4,4,24,6,13,18,3,0,4,4,6,7,7,7,19,9,16,13,19,10
FRH,Bretagne,Bretagne,3,4,12,3,3,3,0,0,12,13,5,0,0,0,16,3,11,0,9,3,6,0,19,3,4,15,0,0,3,0,0,3,8,7,3,8,14,15,7,8
PT1,Continente,Continente,11,3,0,0,3,3,13,0,14,12,12,5,4,3,9,7,0,9,3,5,7,3,21,13,13,15,0,4,8,13,3,7,16,4,15,15,20,11,6,13
HU1,Közép-Magyarország,Közép-Magyarország,3,3,0,0,0,0,0,5,0,3,3,13,0,12,0,0,0,6,0,11,0,9,11,0,4,6,11,0,0,0,12,23,14,5,29,3,13,13,18,4
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,9,0,0,4,0,0,0,3,0,3,0,0,4,5,4,7,6,10
SK0,Slovensko,Slovensko,4,4,3,0,0,6,3,5,6,3,3,13,3,18,0,7,3,6,6,15,0,10,12,0,4,12,13,6,3,11,13,23,18,5,34,9,18,14,23,5
DE3,Berlin,Berlin,0,9,0,0,0,0,0,0,0,0,0,6,0,13,5,0,8,0,0,3,0,4,6,4,0,10,6,3,0,7,0,0,6,3,9,6,0,11,19,17
SI0,Slovenija,Slovenija,3,0,6,0,3,0,3,6,0,0,3,19,3,12,0,5,0,12,3,10,3,9,26,0,3,15,7,3,3,11,15,24,17,6,33,7,18,12,24,5
UKL,Wales,Wales,3,6,11,7,0,4,0,0,10,12,3,0,0,0,23,0,9,0,3,3,3,0,12,0,7,18,3,3,7,0,0,0,9,5,0,5,5,16,6,12
BE3,Région wallonne,Région wallonne,0,9,6,0,0,3,0,0,3,4,3,0,0,9,11,3,3,0,0,3,4,5,15,3,11,11,0,0,0,7,0,4,3,4,5,5,12,10,12,14
FRD,Normandie,Normandie,0,8,12,3,0,4,0,0,9,9,0,0,0,0,14,3,7,3,5,3,7,0,14,3,6,15,0,0,4,4,0,3,9,5,0,9,13,19,14,12
HR0,Hrvatska,Hrvatska,4,0,6,3,5,0,0,10,8,3,6,15,0,12,0,5,0,12,7,13,5,9,36,4,5,14,13,5,5,10,15,29,19,6,34,9,20,25,26,6
PL5,Makroregion południowo-zachodni,Makroregion południowo-zachodni,4,10,0,0,3,4,0,0,6,3,0,10,0,17,3,4,3,3,3,3,0,7,6,0,3,22,0,3,0,11,5,6,12,10,19,3,3,14,23,8
EL4,"Nisia Aigaiou, Kriti","Νησιά Αιγαίου, Κρήτη",6,5,0,0,4,3,12,7,0,0,0,3,5,0,3,3,4,11,12,13,9,9,4,3,3,4,19,4,6,22,7,38,7,18,20,15,12,29,24,7
MK0,Severna Makedonija,Северна Македонија,4,4,0,3,4,0,8,8,0,0,0,3,6,7,0,6,3,10,11,10,7,3,4,4,6,8,24,6,4,10,11,36,14,3,14,11,26,3,14,10
DEB,Rheinland-Pfalz,Rheinland-Pfalz,0,5,6,0,0,3,0,0,0,7,4,3,0,7,6,0,5,0,0,3,3,3,22,3,7,13,0,0,0,7,4,4,3,5,14,5,13,15,21,10
FRL,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,6,8,15,3,0,4,4,0,0,0,4,4,0,8,3,3,0,5,3,3,4,9,34,3,4,17,4,0,8,4,8,12,7,5,29,6,24,17,26,13
SE1,Östra Sverige,Östra Sverige,0,13,4,0,4,7,0,10,4,3,5,3,0,12,9,5,20,0,8,0,4,21,13,7,5,13,6,11,7,10,9,0,0,15,4,6,0,32,17,25
DE8,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,0,10,0,0,0,0,0,0,0,0,0,8,0,13,5,0,18,0,0,3,3,8,9,3,0,18,5,3,0,9,0,0,6,5,8,5,0,22,23,18
SE2,Södra Sverige,Södra Sverige,0,15,4,0,0,3,0,13,8,3,4,11,0,16,7,5,22,0,7,3,4,23,10,7,6,17,8,13,12,9,9,0,5,16,5,10,5,35,22,28
FRJ,Occitanie,Occitanie,4,10,15,4,0,4,5,0,3,7,6,3,3,14,4,3,0,4,3,6,3,7,31,4,10,12,3,3,7,6,6,13,3,6,22,6,25,15,23,11
RS2,Serbia - jug,Србија - југ,4,3,0,3,4,0,7,9,0,0,0,12,4,6,0,4,0,12,7,13,3,11,8,3,6,4,19,3,3,11,11,31,14,0,20,11,20,3,13,3
NO0,Norge,Norge,0,14,8,5,9,14,6,15,13,15,9,12,8,14,14,8,17,9,9,4,10,24,20,16,14,17,11,17,12,4,12,4,24,25,12,10,9,32,18,21
RO2,Macroregiunea Doi,Macroregiunea Doi,0,0,3,0,0,0,6,4,0,3,0,8,0,4,3,3,0,7,9,8,6,15,7,0,5,9,18,5,3,18,8,34,11,13,22,17,10,12,30,10
NL1,Noord-Nederland,Noord-Nederland,0,9,0,0,0,0,0,0,0,0,0,0,0,9,6,0,10,0,4,3,7,6,10,6,0,14,4,3,3,3,0,3,4,6,4,9,0,10,16,20
ITC,Nord-Ovest,Nord-Ovest,5,8,12,0,3,4,4,3,0,3,9,9,3,9,6,6,0,15,6,4,10,10,37,3,6,16,4,3,6,8,9,24,8,7,34,8,33,17,24,12
PL6,Makroregion północny,Makroregion północny,3,11,0,0,0,3,0,0,3,0,3,5,0,16,0,3,12,3,6,4,3,12,5,0,0,14,10,0,3,15,5,7,10,18,12,13,0,21,26,14
UKI,London,London,0,4,3,0,0,0,0,0,4,8,0,0,0,0,11,0,12,0,0,0,3,0,9,0,8,12,0,0,0,0,0,0,7,0,0,3,6,16,4,9
HU2,Dunántúl,Dunántúl,4,4,0,0,4,0,0,9,4,3,5,15,0,13,4,3,0,7,3,13,0,9,21,0,3,11,10,6,0,9,11,26,19,5,30,6,17,11,16,4
ME0,Crna Gora,Црна Гора,3,3,0,3,0,0,5,9,0,0,3,3,3,4,0,6,0,12,8,12,3,7,16,4,6,9,21,0,0,6,15,33,14,0,22,8,21,3,21,10
PL9,Makroregion województwo mazowieckie,Makroregion województwo mazowieckie,3,5,0,0,3,7,0,0,3,0,3,6,0,13,0,3,4,4,3,9,3,8,0,0,3,13,8,0,3,13,10,17,9,12,16,10,6,19,27,12
FRM,Corse,Corse,6,6,16,4,0,0,4,0,0,0,0,4,3,10,0,3,4,9,4,10,4,8,45,0,5,10,11,0,6,9,11,18,4,7,41,6,34,17,23,19
ES3,Comunidad de Madrid,Comunidad de Madrid,7,3,3,0,4,0,4,0,4,4,7,0,0,7,8,0,0,4,0,0,6,7,16,5,9,0,0,0,4,4,6,14,9,0,23,8,24,10,15,17
BG4,Yugozapadna i Yuzhna tsentralna Bulgaria,Югозападна и Южна централна България,6,4,0,4,4,0,8,9,0,0,3,4,3,6,0,6,4,11,10,10,10,7,3,3,5,7,23,0,5,11,9,30,10,4,11,11,21,3,15,8
BE2,Vlaams Gewest,Vlaams Gewest,0,9,0,0,0,0,0,0,3,3,0,0,0,5,10,0,7,0,3,3,4,7,13,0,7,18,0,0,0,4,0,3,3,0,4,5,6,10,10,14
AT3,Westösterreich,Westösterreich,3,5,3,0,3,0,0,0,0,3,0,11,3,13,4,10,0,7,0,7,3,9,20,0,3,8,6,0,4,8,6,13,15,4,26,4,14,16,14,3
EL3,Attiki,Αττική,5,5,0,0,4,0,9,5,0,0,0,0,4,0,0,0,3,10,11,4,3,6,3,0,3,4,13,3,5,12,0,29,3,4,5,12,13,7,6,4
UKH,East of England,East of England,0,8,4,0,0,0,0,0,4,5,0,0,0,4,12,0,14,0,3,3,3,6,9,5,8,18,0,0,0,7,0,3,7,3,0,5,11,18,10,13
DEA,Nordrhein-Westfalen,Nordrhein-Westfalen,0,7,3,0,0,3,0,0,3,6,3,0,0,11,8,3,3,0,0,3,6,3,16,5,3,13,5,4,0,7,3,4,3,7,5,5,6,17,19,15
UKD,North West (England),North West (England),0,6,13,5,0,3,0,0,9,7,3,0,0,0,10,3,6,0,7,3,4,0,10,0,6,18,3,3,4,0,0,3,5,0,0,4,5,5,7,12
EE0,Eesti,Eesti,0,3,0,5,0,3,0,16,3,0,5,6,0,10,10,4,17,3,13,0,4,15,13,4,0,11,9,0,3,27,20,3,14,19,3,6,0,24,24,13
DE7,Hessen,Hessen,0,6,8,0,0,0,0,0,0,4,4,0,0,14,4,0,0,0,0,3,6,3,22,0,3,13,4,0,0,7,4,3,3,7,13,4,7,17,20,6
PL2,Makroregion południowy,Makroregion południowy,3,8,0,0,3,6,0,0,6,0,3,12,0,15,0,7,3,3,6,4,0,4,3,0,3,16,7,0,0,10,11,19,14,4,24,8,9,12,24,8
MT0,Malta,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,8,0,0,0,35,0,0,6,0,0,0,0,6,19,9,0,17,4,14,6,22,8
FI1,Manner-Suomi,Manner-Suomi,0,3,4,9,6,9,0,19,12,10,4,12,0,8,12,9,19,0,12,5,6,22,18,16,11,13,11,3,8,22,19,5,19,26,8,7,5,27,19,23
DE6,Hamburg,Hamburg,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,3,0,3,0,5,3,0,6,4,3,0,4,0,0,3,6,4,0,0,11,15,16
LU0,Luxembourg,Luxembourg,0,4,6,0,0,0,0,0,0,4,3,0,0,3,10,0,3,0,0,0,0,3,14,3,7,10,0,0,0,4,3,4,0,3,5,5,11,9,12,10
RO1,Macroregiunea Unu,Macroregiunea Unu,3,0,0,0,0,5,10,4,3,3,4,12,3,10,0,6,3,9,7,11,3,12,14,3,6,7,15,4,6,11,15,36,15,8,30,13,19,6,27,6
EL6,Kentriki Elláda,Κεντρική Ελλάδα,6,4,0,3,5,3,13,9,0,4,0,5,7,5,0,0,6,14,13,9,6,6,20,7,6,8,20,8,5,12,19,32,14,8,28,14,20,14,17,10
EL5,Voreia Elláda,Βόρεια Ελλάδα,4,5,0,4,4,0,8,9,0,3,0,3,6,4,0,3,7,14,12,12,12,9,14,6,5,11,27,6,5,14,14,37,13,6,20,17,28,11,25,13
DEE,Sachsen-Anhalt,Sachsen-Anhalt,0,7,0,0,0,0,0,0,0,0,0,6,0,13,5,0,3,0,0,3,4,5,15,0,0,15,6,3,0,7,4,3,6,6,13,7,0,18,22,18
FI2,Åland,Åland,0,0,0,0,0,3,0,3,3,0,3,7,0,4,0,5,12,0,5,0,3,22,14,6,0,3,0,4,6,12,11,0,5,20,4,3,0,26,18,16
DK0,Danmark,Danmark,0,12,3,0,0,0,0,7,5,0,3,14,0,13,4,3,27,0,4,0,3,19,8,8,3,20,7,10,7,7,0,3,4,12,4,13,0,32,15,17
PL8,Makroregion wschodni,Makroregion wschodni,3,4,0,0,0,7,0,0,0,0,3,10,0,17,0,3,4,4,10,9,7,7,5,0,4,14,10,0,3,14,12,20,12,11,19,13,12,15,24,14
RO4,Macroregiunea Patru,Macroregiunea Patru,3,0,0,3,3,0,10,7,0,4,4,9,3,12,0,5,0,10,4,15,8,10,11,3,6,8,20,6,3,10,16,36,14,3,28,11,20,4,24,3
ITG,Isole,Isole,3,13,16,0,3,0,14,9,0,0,0,0,8,14,0,3,11,13,20,11,4,4,48,3,7,15,21,5,3,8,6,18,8,8,24,7,31,10,20,12
BG3,Severna i Yugoiztochna Bulgaria,Северна и Югоизточна България,3,0,0,3,4,0,5,7,0,3,0,4,0,6,0,4,3,9,8,13,8,10,6,0,3,6,23,4,5,19,10,32,8,9,15,16,20,6,22,7
ES2,Noreste,Noreste,8,7,8,4,0,3,5,0,3,4,7,3,3,12,3,3,0,4,0,3,8,7,25,4,10,10,3,3,8,7,7,21,6,4,23,8,26,12,25,14
FRK,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,3,6,12,0,0,4,3,0,3,4,4,9,3,8,6,3,5,6,0,3,3,9,37,4,11,13,3,0,7,6,7,11,10,7,25,7,25,18,25,15
UKE,Yorkshire and the Humber,Yorkshire and the Humber,0,7,8,0,0,3,0,0,9,7,0,0,0,3,8,3,8,0,3,3,3,0,10,5,6,11,0,3,4,4,0,0,3,0,0,3,6,8,8,9
NL3,West-Nederland,West-Nederland,0,9,0,0,0,0,0,0,3,0,0,3,0,4,8,3,8,0,4,3,6,7,7,6,6,18,0,0,0,4,0,3,3,3,4,6,4,8,13,18
ES1,Noroeste,Noroeste,4,4,4,3,3,0,10,0,8,13,10,5,5,0,0,4,0,6,4,4,6,3,16,6,7,12,3,0,3,8,3,4,12,0,11,8,13,10,15,7
IE0,Ireland,Ireland,6,6,17,12,0,3,0,3,12,10,6,0,0,0,23,0,10,0,4,3,0,3,12,4,8,14,5,0,11,0,0,4,16,5,0,8,3,23,5,7
UKM,Scotland,Scotland,5,10,14,12,0,7,0,4,11,6,7,10,3,3,17,3,15,0,11,3,5,14,19,7,9,13,7,8,13,3,3,8,11,17,3,8,5,10,12,14
UKF,East Midlands (England),East Midlands (England),0,7,5,4,0,0,0,0,9,7,0,0,0,3,12,3,11,0,3,3,3,0,8,8,7,18,0,0,4,8,0,0,4,0,0,3,10,10,8,10
PL7,Makroregion centralny,Makroregion centralny,3,8,0,0,3,6,0,0,3,0,3,9,0,15,0,3,3,3,3,9,3,7,0,0,3,21,6,0,3,8,11,19,11,10,18,10,9,15,29,8
DEF,Schleswig-Holstein,Schleswig-Holstein,0,10,3,0,0,0,0,0,0,0,0,8,0,11,3,0,18,0,3,0,3,7,6,6,0,12,5,3,0,7,0,3,6,7,4,6,0,14,13,16
DE9,Niedersachsen,Niedersachsen,0,9,3,0,0,0,0,0,0,3,0,4,0,17,5,0,7,0,4,3,7,10,16,6,3,11,6,7,0,7,4,3,6,8,7,7,0,17,18,18
FRE,Hauts-de-France,Hauts-de-France,0,9,4,0,0,3,0,0,7,7,0,0,3,9,14,3,9,0,3,0,6,7,12,0,12,18,0,0,0,4,0,5,9,3,7,7,10,13,14,11
RS1,Serbia - sever,Србија - север,0,0,3,0,3,0,3,8,7,0,0,13,0,13,0,0,0,13,3,13,0,12,10,0,5,7,12,3,0,4,10,27,13,0,29,3,22,7,13,3
